source,target,year
P_W2797371199,P_W2964187553,2018.0
P_W2797371199,P_W3203906782,2018.0
P_W2161890243,P_W16967297,2012.0
P_W2161890243,P_W2101105183,2012.0
P_W2161890243,P_W2113641473,2012.0
P_W2161890243,P_W2124807415,2012.0
P_W2161890243,P_W2132001515,2012.0
P_W2161890243,P_W2149327368,2012.0
P_W2161890243,P_W2158195707,2012.0
P_W2161890243,P_W2395333260,2012.0
P_W2161890243,P_W2758054112,2012.0
P_W2250240265,P_W143478578,2012.0
P_W2250240265,P_W1483201900,2012.0
P_W2250240265,P_W1551202288,2012.0
P_W2250240265,P_W1964591498,2012.0
P_W2250240265,P_W2071606701,2012.0
P_W2250240265,P_W2103349228,2012.0
P_W2250240265,P_W2113104171,2012.0
P_W2250240265,P_W2119005844,2012.0
P_W2250240265,P_W2119224513,2012.0
P_W2250240265,P_W2119314391,2012.0
P_W2250240265,P_W2119388680,2012.0
P_W2250240265,P_W2126946601,2012.0
P_W2250240265,P_W2133229022,2012.0
P_W2250240265,P_W2137592969,2012.0
P_W2250240265,P_W2139621418,2012.0
P_W2250240265,P_W2140605844,2012.0
P_W2250240265,P_W2144279206,2012.0
P_W2250240265,P_W2146574666,2012.0
P_W2250240265,P_W2154563865,2012.0
P_W2250240265,P_W2161227214,2012.0
P_W2250240265,P_W2165109801,2012.0
P_W2137698233,P_W22168010,2012.0
P_W2137698233,P_W64777181,2012.0
P_W2137698233,P_W145987047,2012.0
P_W2137698233,P_W265531733,2012.0
P_W2137698233,P_W635530177,2012.0
P_W2137698233,P_W1491049622,2012.0
P_W2137698233,P_W1596675947,2012.0
P_W2137698233,P_W1625582487,2012.0
P_W2137698233,P_W1631260214,2012.0
P_W2137698233,P_W1848260265,2012.0
P_W2137698233,P_W1905522558,2012.0
P_W2137698233,P_W1989658336,2012.0
P_W2137698233,P_W1994581546,2012.0
P_W2137698233,P_W2000359198,2012.0
P_W2137698233,P_W2006969979,2012.0
P_W2137698233,P_W2054399842,2012.0
