paper_id,transE_score,year
NOVEL_MT_243,12.755254745483398,2021.0
NOVEL_MT_244,13.602846145629883,2022.0
NOVEL_MT_245,12.790998458862305,2021.0
NOVEL_MT_246,13.72260570526123,2021.0
NOVEL_MT_247,13.815746307373047,2021.0
NOVEL_MT_250,12.732388496398926,2021.0
NOVEL_MT_252,12.870743751525879,2021.0
NOVEL_MT_253,13.625692367553711,2021.0
NOVEL_MT_254,12.582159042358398,2021.0
NOVEL_MT_255,12.491318702697754,2021.0
NOVEL_MT_256,13.813136100769043,2021.0
NOVEL_MT_257,13.750231742858887,2021.0
NOVEL_MT_258,12.733843803405762,2021.0
NOVEL_MT_259,13.68874740600586,2021.0
NOVEL_MT_261,12.966391563415527,2021.0
NOVEL_MT_262,13.65141773223877,2021.0
NOVEL_MT_264,13.845677375793457,2021.0
NOVEL_MT_265,13.797175407409668,2021.0
NOVEL_MT_266,12.771893501281738,2021.0
NOVEL_MT_267,12.94685173034668,2021.0
NOVEL_MT_268,13.846885681152344,2021.0
NOVEL_MT_269,13.695075035095215,2021.0
NOVEL_MT_270,13.749122619628906,2021.0
NOVEL_MT_271,13.775714874267578,2021.0
NOVEL_MT_274,12.812117576599121,2021.0
NOVEL_MT_275,13.275731086730957,2021.0
NOVEL_MT_277,13.691879272460938,2021.0
NOVEL_MT_280,12.706557273864746,2022.0
NOVEL_MT_281,13.21678352355957,2021.0
NOVEL_MT_282,13.70190143585205,2021.0
NOVEL_MT_283,13.901559829711914,2021.0
NOVEL_MT_284,12.677078247070312,2021.0
NOVEL_MT_286,13.70368480682373,2021.0
NOVEL_MT_287,13.94483757019043,2021.0
NOVEL_MT_289,13.594292640686035,2021.0
NOVEL_MT_290,13.056807518005371,2021.0
NOVEL_MT_291,14.00650405883789,2021.0
NOVEL_MT_295,12.661942481994629,2021.0
NOVEL_MT_298,13.769701957702637,2021.0
NOVEL_MT_300,13.569816589355469,2021.0
NOVEL_MT_301,13.62460994720459,2021.0
NOVEL_MT_303,13.820915222167969,2021.0
NOVEL_MT_304,13.835349082946777,2021.0
NOVEL_MT_305,12.5497407913208,2021.0
NOVEL_MT_306,13.875570297241211,2024.0
NOVEL_QA_0,12.70213508605957,2021.0
NOVEL_QA_1,13.898670196533203,2021.0
NOVEL_QA_2,12.870980262756348,2021.0
NOVEL_QA_3,13.383456230163574,2021.0
NOVEL_QA_4,13.459952354431152,2021.0
NOVEL_QA_5,13.84445571899414,2021.0
NOVEL_QA_7,12.769580841064453,2021.0
NOVEL_QA_8,13.753951072692871,2021.0
NOVEL_QA_10,13.306463241577148,2021.0
NOVEL_QA_12,13.64223575592041,2021.0
NOVEL_QA_13,13.985396385192871,2021.0
NOVEL_QA_14,12.829837799072266,2021.0
NOVEL_QA_15,13.752983093261719,2021.0
NOVEL_QA_16,13.677834510803223,2021.0
NOVEL_QA_17,13.855436325073242,2021.0
NOVEL_QA_18,13.79189395904541,2021.0
NOVEL_QA_21,12.712170600891113,2021.0
NOVEL_QA_22,13.693921089172363,2021.0
NOVEL_QA_23,13.707365036010742,2021.0
NOVEL_QA_24,14.054829597473145,2021.0
NOVEL_QA_25,13.561849594116211,2021.0
