paper_id,n_triples,mean_dist,min_dist,max_dist,std_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness
NOVEL_DIA_W4380685958,69,1.8647826,1.3757765,2.680958,0.32573327,0.0,0.0,0.3487309
NOVEL_DIA_W4380995257,97,1.7129823,1.3740603,2.1591685,0.21350472,0.0,0.0,0.19592564
NOVEL_DIA_W4380997513,119,1.9453328,1.3203758,2.6922626,0.36914504,0.0,0.0,0.42981437
NOVEL_DIA_W4381930847,81,1.6762458,1.3547258,2.317412,0.21484025,0.0,0.0,0.15894595
NOVEL_DIA_W4384200891,151,1.8703197,1.3083388,2.673827,0.3445037,0.0,0.0,0.3543047
NOVEL_DIA_W4385242971,153,1.9126681,1.3052518,2.5338292,0.33521602,0.0,0.0,0.39693347
NOVEL_DIA_W4385346108,222,1.9392434,1.3326663,2.6333613,0.32893175,0.0,0.0,0.42368472
NOVEL_DIA_W4386045865,172,1.6627914,1.4051397,2.129176,0.13974312,0.0,0.0,0.14540243
NOVEL_DIA_W4386072877,119,1.8426541,1.3810487,2.6823146,0.33794478,0.0,0.0,0.32645595
NOVEL_DIA_W4386091044,251,1.859561,1.2637327,2.6449916,0.34884876,0.0,0.0,0.34347472
NOVEL_DIA_W4386317922,160,1.5546916,1.3069639,2.2814193,0.16117233,0.0,0.0,0.036586944
NOVEL_DIA_W4386347795,8,1.8911037,1.2990102,2.5772421,0.39672583,0.0,0.0,0.37522632
NOVEL_DIA_W4386544117,316,1.8762101,1.3075886,3.033951,0.3330617,0.0,0.0,0.36023408
NOVEL_DIA_W4386867830,89,1.6674798,1.3174683,2.4078302,0.20910381,0.0,0.0,0.15012185
NOVEL_DIA_W4387232979,104,1.8246435,1.3284892,2.6794724,0.36006573,0.0,0.0,0.3083261
NOVEL_DIA_W4387356888,174,1.5723175,1.2957073,2.3290164,0.18060054,0.0,0.0,0.054329563
NOVEL_DIA_W4387500346,163,1.8676713,1.3594103,2.76965,0.34573153,0.0,0.0,0.3516387
NOVEL_DIA_W4387954002,262,1.7009305,1.3828831,2.4409893,0.19309027,0.0,0.0,0.18379404
