paper_id,year,split,domain,final_novelty_score,structural_novelty,disruption_index,contribution_type
SKG_MT_1065,2012,SKG,MT,0.425709598213986,0.7469879518072289,-0.32127835359324286,Disruptive
SKG_PAR_200,2012,SKG,PAR,0.3717326229308106,0.82,-0.44826737706918934,Incremental
SKG_MT_259,2012,SKG,MT,0.2926998498416519,0.8677685950413223,-0.5750687451996703,Incremental
SKG_PAR_127,2012,SKG,PAR,0.3237709423942641,0.9,-0.5762290576057358,Incremental
SKG_MT_410,2012,SKG,MT,0.3198150707185318,0.8148148148148148,-0.49499974409628295,Incremental
SKG_MT_373,2012,SKG,MT,0.3427754571640724,0.7872340425531915,-0.44445858538911914,Incremental
SKG_SUM_97,2012,SKG,SUM,0.5289496223346909,0.9016393442622952,-0.3726897219276043,Disruptive
SKG_MT_1175,2012,SKG,MT,0.5570052077629282,0.9166666666666666,-0.35966145890373846,Disruptive
SKG_MT_1177,2012,SKG,MT,0.3014843989542193,0.8602941176470589,-0.5588097186928396,Incremental
SKG_MT_1062,2012,SKG,MT,0.3549865809830334,0.8625,-0.5075134190169667,Incremental
SKG_MT_1276,2012,SKG,MT,0.3455983258620679,0.8264462809917356,-0.48084795512966766,Incremental
SKG_MT_724,2012,SKG,MT,0.3292737846496462,0.8503937007874016,-0.5211199161377554,Incremental
SKG_QA_487,2012,SKG,QA,0.357004895317542,0.75,-0.392995104682458,Incremental
SKG_MT_451,2012,SKG,MT,0.3488717957880194,0.8365384615384616,-0.48766666575044215,Incremental
SKG_DIA_231,2012,SKG,DIA,0.2130856735092179,0.8666666666666667,-0.6535809931574488,Incremental
SKG_MT_1395,2012,SKG,MT,0.3552872063994312,0.8113207547169812,-0.45603354831755,Incremental
SKG_MT_1376,2012,SKG,MT,0.2285158647457412,0.8314606741573034,-0.6029448094115621,Incremental
SKG_SA_148,2012,SKG,SA,0.3808827043402476,0.9607843137254902,-0.5799016093852426,Incremental
SKG_MT_1421,2012,SKG,MT,0.3581539045086899,0.9175257731958762,-0.5593718686871864,Incremental
SKG_SA_5,2012,SKG,SA,0.3442081152634289,0.8780487804878049,-0.5338406652243759,Incremental
SKG_MT_788,2012,SKG,MT,0.3147529448773821,0.8414634146341463,-0.5267104697567642,Incremental
SKG_MT_835,2012,SKG,MT,0.3664392651345194,0.9545454545454546,-0.5881061894109352,Incremental
SKG_MT_832,2012,SKG,MT,0.3654138437970332,0.8571428571428571,-0.4917290133458239,Incremental
SKG_MT_1349,2012,SKG,MT,0.3397251445838399,0.7833333333333333,-0.4436081887494934,Incremental
SKG_MT_1361,2012,SKG,MT,0.3434808890127014,0.8771929824561403,-0.533712093443439,Incremental
SKG_MT_1327,2012,SKG,MT,0.3196339965804146,0.8543689320388349,-0.5347349354584203,Incremental
SKG_SA_268,2012,SKG,SA,0.3318035779080363,0.9142857142857144,-0.5824821363776781,Incremental
SKG_MT_865,2012,SKG,MT,0.3503795667787064,0.8225806451612904,-0.47220107838258396,Incremental
SKG_SA_24,2012,SKG,SA,0.2774040384717223,0.7924528301886793,-0.515048791716957,Incremental
SKG_MT_1165,2012,SKG,MT,0.2723297278196646,0.8732394366197183,-0.6009097088000537,Incremental
SKG_MT_1174,2012,SKG,MT,0.367535355463085,0.85,-0.48246464453691495,Incremental
SKG_MT_346,2012,SKG,MT,0.298895605615497,0.8648648648648649,-0.5659692592493679,Incremental
SKG_SUM_147,2012,SKG,SUM,0.2671637873069123,0.9310344827586208,-0.6638706954517084,Incremental
SKG_SUM_193,2013,SKG,SUM,0.2811464737717767,0.780952380952381,-0.49980590718060425,Incremental
SKG_MT_1090,2013,SKG,MT,0.3308807665238011,0.8681318681318682,-0.537251101608067,Incremental
SKG_MT_376,2013,SKG,MT,0.3177271467291068,0.8779342723004695,-0.5602071255713628,Incremental
SKG_PAR_204,2013,SKG,PAR,0.2855259726689659,0.8409090909090909,-0.555383118240125,Incremental
SKG_MT_332,2013,SKG,MT,0.3915500266067449,0.8409090909090909,-0.449359064302346,Incremental
SKG_MT_337,2013,SKG,MT,0.3357062847992904,0.7906976744186046,-0.45499138961931423,Incremental
SKG_MT_372,2013,SKG,MT,0.3342340150675261,0.7560975609756098,-0.42186354590808367,Incremental
SKG_MT_375,2013,SKG,MT,0.4018561806340424,0.7837837837837838,-0.3819276031497414,Incremental
SKG_MT_371,2013,SKG,MT,0.3588180722049744,0.8581560283687943,-0.49933795616381993,Incremental
SKG_SA_306,2013,SKG,SA,0.2928988884327906,0.8709677419354839,-0.5780688535026932,Incremental
SKG_SA_296,2013,SKG,SA,0.3106444744119786,0.8985507246376812,-0.5879062502257025,Incremental
SKG_MT_824,2013,SKG,MT,0.3278828242284908,0.8918918918918919,-0.5640090676634011,Incremental
SKG_MT_290,2013,SKG,MT,0.3106437269750396,0.8461538461538461,-0.5355101191788065,Incremental
SKG_MT_282,2013,SKG,MT,0.3911538680087556,0.8051948051948052,-0.4140409371860496,Incremental
SKG_MT_268,2013,SKG,MT,0.3504334199555977,0.8785046728971962,-0.5280712529415985,Incremental
SKG_MT_277,2013,SKG,MT,0.2900245305085346,0.8258064516129032,-0.5357819211043686,Incremental
SKG_SA_318,2013,SKG,SA,0.385569540807168,0.8,-0.41443045919283206,Incremental
SKG_MT_1326,2013,SKG,MT,0.2750721371171366,0.8397790055248618,-0.5647068684077252,Incremental
SKG_PAR_139,2013,SKG,PAR,0.2706892715115607,0.8615384615384616,-0.5908491900269008,Incremental
