paper_id,structural_novelty,triple_count
SKG_MT_885,0.8108108108108109,37
SKG_MT_891,0.8194444444444444,72
SKG_MT_1290,0.8849557522123894,113
SKG_SA_577,0.6666666666666666,33
SKG_SA_32,0.8840579710144928,69
SKG_SA_40,0.8947368421052632,57
SKG_QA_334,0.875,64
SKG_SA_306,0.8709677419354839,93
SKG_SA_296,0.8985507246376812,69
SKG_QA_20,0.8734177215189873,79
SKG_MT_1048,0.9029850746268657,134
SKG_MT_591,0.7976190476190477,84
SKG_MT_100,0.8571428571428571,56
SKG_SA_48,0.9024390243902439,41
SKG_MT_922,0.8461538461538461,52
SKG_MT_94,0.92,50
SKG_MT_91,0.8452380952380952,84
SKG_MT_314,0.8607594936708861,79
SKG_MT_481,0.8405797101449275,138
SKG_MT_1036,0.9041095890410958,73
SKG_MT_1429,0.7857142857142857,126
SKG_MT_80,0.8181818181818182,44
SKG_PAR_20,0.7974683544303798,79
SKG_QA_84,0.95,20
SKG_MT_225,0.7129629629629629,108
SKG_SA_590,0.8363636363636363,55
SKG_MT_1310,0.8142857142857143,140
SKG_MT_305,0.7611940298507462,67
SKG_SA_597,0.9126984126984127,126
SKG_MT_1437,0.8333333333333334,12
SKG_MT_79,0.8549618320610687,131
SKG_MT_14,0.8507462686567164,67
SKG_SUM_76,0.8909090909090909,55
SKG_MT_740,0.8616352201257862,159
SKG_MT_21,0.8442211055276382,199
SKG_MT_22,0.7653061224489796,98
SKG_MT_973,0.8521739130434782,115
SKG_SA_229,0.8695652173913043,92
SKG_MT_290,0.8461538461538461,143
SKG_SA_111,0.9013157894736842,152
SKG_SA_609,0.8195488721804511,133
SKG_MT_282,0.8051948051948052,77
SKG_MT_77,0.8269230769230769,104
SKG_MT_277,0.8258064516129032,155
SKG_MT_641,0.8636363636363636,22
SKG_MT_741,0.6511627906976745,86
SKG_MT_44,0.7831325301204819,83
SKG_SA_633,1.0,19
SKG_MT_1461,1.0,4
SKG_MT_1324,0.8588235294117647,85
SKG_MT_940,0.8313253012048193,83
SKG_SA_191,0.8470588235294118,85
SKG_MT_268,0.8785046728971962,107
SKG_MT_748,0.8205128205128205,78
SKG_MT_752,0.7974683544303798,158
SKG_MT_955,0.8142857142857143,70
SKG_SUM_34,0.8461538461538461,52
SKG_QA_193,0.9230769230769231,13
SKG_MT_1326,0.8397790055248618,181
SKG_SUM_22,0.8792134831460674,356
SKG_MT_545,0.7894736842105263,133
SKG_MT_252,0.8055555555555556,72
SKG_MT_770,0.7304347826086957,115
SKG_MT_1474,0.8015873015873016,126
SKG_MT_265,0.78125,96
SKG_MT_266,0.7547169811320755,106
SKG_SUM_40,0.775,40
SKG_SUM_43,0.8544303797468354,158
SKG_MT_647,0.8202247191011236,89
SKG_MT_931,0.8526315789473684,95
SKG_SA_118,0.7674418604651163,43
SKG_MT_1347,0.8289473684210527,228
SKG_MT_1316,0.8380952380952381,105
SKG_MT_476,0.826530612244898,98
SKG_MT_790,0.8235294117647058,102
SKG_MT_652,0.8257575757575758,132
SKG_SUM_68,0.85,20
SKG_SA_618,0.782608695652174,23
SKG_SA_224,0.7777777777777778,27
SKG_SA_246,0.8494623655913979,93
SKG_MT_738,0.8404255319148937,94
SKG_MT_1441,0.9615384615384616,26
SKG_MT_1367,0.8080808080808081,99
SKG_SA_260,0.8017241379310345,116
SKG_MT_224,0.8505747126436781,87
SKG_MT_1009,0.8571428571428571,70
SKG_PAR_35,0.868421052631579,114
SKG_MT_1030,0.6666666666666666,60
SKG_MT_1046,0.6415094339622641,106
SKG_MT_598,0.8557692307692307,104
SKG_SA_278,0.6470588235294118,17
SKG_MT_317,0.861244019138756,209
SKG_MT_220,0.6857142857142857,35
SKG_SA_283,0.9069767441860465,43
SKG_MT_487,0.7692307692307693,26
SKG_SA_52,0.7338709677419355,124
SKG_MT_97,0.6,10
SKG_MT_319,0.7321428571428571,56
SKG_MT_913,0.8260869565217391,115
SKG_MT_590,0.76,100
SKG_SA_307,0.827027027027027,185
SKG_SA_36,0.8429319371727748,191
SKG_MT_586,0.8324607329842932,191
SKG_DIA_298,0.8928571428571429,28
SKG_MT_1053,0.8333333333333334,54
SKG_MT_116,0.7723577235772358,123
SKG_MT_732,0.75,40
SKG_MT_331,0.7419354838709677,62
SKG_SUM_145,0.8352941176470589,85
SKG_MT_1060,0.8076923076923077,26
SKG_SA_556,0.8512396694214877,121
SKG_MT_710,0.8108108108108109,74
SKG_MT_676,0.6666666666666666,12
SKG_MT_680,0.8727272727272727,55
SKG_SA_339,0.8888888888888888,45
SKG_SA_540,0.9130434782608695,92
SKG_MT_187,1.0,4
SKG_MT_1253,0.8333333333333334,48
SKG_MT_1252,0.7272727272727273,22
SKG_MT_868,0.9056603773584906,159
SKG_MT_359,0.8461538461538461,52
SKG_SA_530,0.7887323943661971,71
SKG_SA_517,0.8421052631578947,57
SKG_PAR_212,0.847457627118644,59
SKG_MT_560,0.7948717948717948,117
SKG_MT_1096,0.826530612244898,98
SKG_PAR_185,0.8461538461538461,91
SKG_MT_394,0.7627118644067796,59
SKG_MT_1403,0.8300970873786407,206
SKG_MT_1213,0.8148148148148148,81
SKG_MT_1120,0.8235294117647058,153
SKG_MT_169,0.8709677419354839,62
SKG_MT_827,1.0,12
SKG_MT_828,0.6911764705882353,68
SKG_DIA_64,0.8961038961038961,77
SKG_MT_1127,0.9090909090909091,11
SKG_MT_1206,0.8,10
SKG_PAR_113,0.6470588235294118,17
SKG_SA_490,0.8461538461538461,195
SKG_MT_836,0.8243243243243243,74
SKG_MT_1158,0.8679245283018868,53
SKG_MT_530,1.0,4
SKG_QA_404,0.8461538461538461,91
SKG_MT_840,0.7857142857142857,42
SKG_SA_441,0.7368421052631579,38
SKG_DIA_211,0.8452380952380952,84
SKG_SA_449,0.8601398601398601,143
SKG_SA_460,0.8,15
SKG_SUM_17,0.8941176470588236,85
SKG_QA_15,0.8343949044585988,157
SKG_SA_293,0.9130434782608695,115
SKG_MT_320,0.7142857142857143,35
SKG_SUM_92,0.8651685393258427,89
SKG_MT_615,0.7651006711409396,149
SKG_SA_313,0.8095238095238095,63
SKG_QA_423,0.853448275862069,116
SKG_DIA_300,0.9078947368421053,76
SKG_SUM_107,0.8044692737430168,179
SKG_SA_321,0.7717391304347826,92
SKG_MT_839,0.8169934640522876,153
SKG_QA_438,0.8383838383838383,99
SKG_QA_446,0.7457627118644068,59
SKG_MT_854,0.7017543859649122,57
SKG_MT_165,0.8026315789473685,76
SKG_SA_323,0.8494623655913979,93
SKG_MT_171,0.82,100
SKG_SA_334,0.7672413793103449,116
SKG_SA_9,0.7862595419847328,131
SKG_MT_1068,0.8247422680412371,97
SKG_SUM_129,0.7948717948717948,39
SKG_MT_1380,0.7608695652173914,46
SKG_SUM_136,0.8102189781021898,137
SKG_MT_815,0.9008264462809917,121
SKG_SA_366,0.75,16
SKG_SUM_172,0.8541666666666666,48
SKG_SUM_177,0.7529411764705882,170
SKG_SA_382,1.0,4
SKG_MT_810,0.84375,224
SKG_SUM_178,0.8849557522123894,113
SKG_MT_555,0.9090909090909091,11
SKG_SUM_186,0.95,20
SKG_SA_393,0.7727272727272727,66
SKG_QA_356,0.9411764705882353,17
SKG_SA_401,0.8253968253968254,189
SKG_QA_352,0.7663551401869159,107
SKG_MT_1085,0.7209302325581395,86
SKG_DIA_275,0.7906976744186046,86
SKG_MT_900,0.7714285714285715,35
SKG_MT_384,0.8080808080808081,99
SKG_MT_699,0.8926553672316384,177
SKG_SA_410,0.8518518518518519,27
SKG_SA_415,0.8333333333333334,114
SKG_MT_109,0.7755102040816326,49
SKG_MT_1108,0.845360824742268,97
SKG_MT_108,0.75,44
SKG_MT_1118,0.875,32
SKG_SA_432,0.8846153846153846,26
SKG_SA_437,0.8035714285714286,168
SKG_QA_328,0.8194444444444444,72
SKG_SA_458,0.8627450980392157,51
SKG_MT_378,0.8695652173913043,46
SKG_PAR_124,0.7850467289719626,107
SKG_QA_298,0.8933333333333333,75
SKG_PAR_116,0.8214285714285714,84
