entity_id,name,domain,first_year,origin_domain,origin_year
E_0fbc0de296,autophagy,QA,2022.0,DIA,2022.0
E_0fbc0de296,autophagy,SUM,2022.0,DIA,2022.0
E_0fdfc5af25,ethics,DIA,2022.0,SA,2022.0
E_0fdfc5af25,ethics,MT,2022.0,SA,2022.0
E_0fdfc5af25,ethics,SA,2022.0,SA,2022.0
E_0fdfc5af25,ethics,QA,2023.0,SA,2022.0
E_0fdfc5af25,ethics,SUM,2023.0,SA,2022.0
E_100695fe0c,hidden layer size,MT,2013.0,MT,2013.0
E_100695fe0c,hidden layer size,DIA,2015.0,MT,2013.0
E_100695fe0c,hidden layer size,SA,2015.0,MT,2013.0
E_10620571dc,enhanced,MT,2022.0,MT,2022.0
E_10620571dc,enhanced,QA,2022.0,MT,2022.0
E_10620571dc,enhanced,SA,2022.0,MT,2022.0
E_10620571dc,enhanced,SUM,2022.0,MT,2022.0
E_10620571dc,enhanced,DIA,2023.0,MT,2022.0
E_10b3bbed74,each word,MT,2011.0,MT,2011.0
E_10b3bbed74,each word,DIA,2017.0,MT,2011.0
E_10b3bbed74,each word,QA,2017.0,MT,2011.0
E_10b3bbed74,each word,SA,2017.0,MT,2011.0
E_10b3bbed74,each word,SUM,2019.0,MT,2011.0
E_10ba49ba46,higher accuracy,MT,2012.0,MT,2012.0
E_10ba49ba46,higher accuracy,SA,2013.0,MT,2012.0
E_10ba49ba46,higher accuracy,QA,2015.0,MT,2012.0
E_10ba49ba46,higher accuracy,DIA,2021.0,MT,2012.0
E_10ba49ba46,higher accuracy,SUM,2021.0,MT,2012.0
E_11198b294a,increase,MT,2010.0,MT,2010.0
E_11198b294a,increase,QA,2011.0,MT,2010.0
E_11198b294a,increase,SA,2011.0,MT,2010.0
E_11198b294a,increase,DIA,2013.0,MT,2010.0
E_11198b294a,increase,SUM,2015.0,MT,2010.0
E_1167e551cc,early stopping,MT,2014.0,MT,2014.0
E_1167e551cc,early stopping,QA,2016.0,MT,2014.0
E_1167e551cc,early stopping,SA,2016.0,MT,2014.0
E_1167e551cc,early stopping,DIA,2017.0,MT,2014.0
E_1167e551cc,early stopping,SUM,2019.0,MT,2014.0
E_119f282024,convolutional,MT,2022.0,MT,2022.0
E_119f282024,convolutional,QA,2022.0,MT,2022.0
E_119f282024,convolutional,SA,2022.0,MT,2022.0
E_119f282024,convolutional,SUM,2022.0,MT,2022.0
E_119f282024,convolutional,DIA,2023.0,MT,2022.0
E_1259ccdcb6,former,MT,2012.0,MT,2012.0
E_1259ccdcb6,former,DIA,2018.0,MT,2012.0
E_1259ccdcb6,former,QA,2019.0,MT,2012.0
E_1259ccdcb6,former,SA,2019.0,MT,2012.0
E_1259ccdcb6,former,SUM,2019.0,MT,2012.0
E_12672e79b0,wikipedia,MT,2010.0,MT,2010.0
E_12672e79b0,wikipedia,DIA,2015.0,MT,2010.0
E_12672e79b0,wikipedia,QA,2018.0,MT,2010.0
E_12672e79b0,wikipedia,SUM,2018.0,MT,2010.0
E_12672e79b0,wikipedia,SA,2021.0,MT,2010.0
E_129274265d,incorporating,DIA,2022.0,DIA,2022.0
E_129274265d,incorporating,SA,2022.0,DIA,2022.0
E_129274265d,incorporating,MT,2023.0,DIA,2022.0
E_129274265d,incorporating,QA,2023.0,DIA,2022.0
E_129274265d,incorporating,SUM,2023.0,DIA,2022.0
E_131b8e0103,exploring,MT,2017.0,MT,2017.0
E_131b8e0103,exploring,DIA,2022.0,MT,2017.0
E_131b8e0103,exploring,QA,2022.0,MT,2017.0
E_131b8e0103,exploring,SA,2022.0,MT,2017.0
E_131b8e0103,exploring,SUM,2023.0,MT,2017.0
E_13446fec04,all datasets,MT,2011.0,MT,2011.0
E_13446fec04,all datasets,SA,2013.0,MT,2011.0
E_13446fec04,all datasets,SUM,2014.0,MT,2011.0
E_13446fec04,all datasets,QA,2017.0,MT,2011.0
E_13446fec04,all datasets,DIA,2019.0,MT,2011.0
E_13559dc1ae,assessing,DIA,2022.0,SA,2022.0
E_13559dc1ae,assessing,MT,2022.0,SA,2022.0
E_13559dc1ae,assessing,QA,2022.0,SA,2022.0
