paper_id,year,semantic_knn,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty,n_triples,mean_dist,min_dist,pct_unseen_entity,pct_unseen_pred,transe_unexpectedness,n_citations,mean_link_prob,tgn_unexpectedness,kg_unexpectedness,disruptiveness,disruption_class,rank
NOVEL_QA_79,2021,0.9850363731384276,0.7272727272727273,275.0,24,63,3.218875824868201,0.7272727265454545,0.9651624222177468,0.3462111643943907,0.8556893573009526,275.0,2.179564,1.412911,0.0,0.0,0.6655963,6.0,0.6210388193527857,0.5289481211823138,0.5972722137531594,0.9356512967131764,DISRUPTIVE,23
NOVEL_MT_187,2021,0.9902198910713196,0.6923076923076923,78.0,37,28,3.6375861597263857,0.6923076916153845,0.9772304321177104,0.391246201613061,0.8616474609667804,78.0,2.1333263,1.4807394,0.0,0.0,0.61905247,5.0,0.609204967021942,0.5463116237809493,0.5826820467556633,0.9353823708321952,DISRUPTIVE,24
NOVEL_SUM_42,2021,0.9720528721809388,0.819047619047619,105.0,70,34,4.262679877041316,0.8190476182285713,0.9349348778898068,0.4584791225152151,0.8641118504201005,105.0,2.1638782,1.3137232,0.0,0.0,0.6498067,4.0,0.6389052778482437,0.502733133041408,0.5762699056682717,0.9351236191498769,DISRUPTIVE,25
NOVEL_SUM_12,2021,0.9851325750350952,0.7285714285714285,70.0,31,46,3.4657359027997265,0.728571427842857,0.965386394712182,0.3727625816198946,0.858761020029088,70.0,2.1534214,1.5389348,0.0,0.0,0.6392807,5.0,0.6160234141349792,0.5363070943296816,0.5877938855857088,0.934747828204439,DISRUPTIVE,26
NOVEL_SA_51,2021,0.9714113473892212,0.7635135135135135,148.0,325,48,5.786897381366708,0.7635135127499999,0.9334413116211548,0.6224186920027748,0.8683534898850858,148.0,2.2165518,1.4621112,0.0,0.0,0.702829,3.0,0.6943947394688923,0.4213148945751582,0.5620719489546018,0.9334423374767694,DISRUPTIVE,27
NOVEL_SUM_58,2021,0.9838992953300476,0.7689243027888446,251.0,24,57,3.218875824868201,0.7689243020199202,0.9625151339424454,0.3462111643943907,0.862166570603135,251.0,2.108836,1.4808506,0.0,0.0,0.5944,5.0,0.6018345856666565,0.5571259919374524,0.575762990294364,0.933151059177994,DISRUPTIVE,28
NOVEL_SUM_49,2021,0.9791961908340454,0.7440944881889764,254.0,128,56,4.859812404361672,0.7440944874448818,0.951565598828818,0.5227046344110681,0.8671852801102555,254.0,2.136411,1.2929476,0.0,0.0,0.6221576,5.0,0.6393643152713775,0.5020595994137591,0.5621085865568551,0.9323910726087574,DISRUPTIVE,29
NOVEL_SUM_37,2021,0.9514339566230774,0.8,25.0,62,73,4.143134726391533,0.7999999992,0.886930939194072,0.445621259069719,0.8254137831828223,25.0,2.2858796,1.4536043,0.0,0.0,0.7726158,7.0,0.6117342974458422,0.5426004032789215,0.657608096823024,0.9316220031957206,DISRUPTIVE,30
NOVEL_MT_W4384296800,2023,0.9276413917541504,0.7566539923954373,263.0,363,263,5.8971538676367405,0.7566539916387832,0.8315382672479085,0.6342774987944737,0.7968353352807399,263.0,1.9637855,1.2889992,0.0,0.0,0.4483893,263.0,0.3,0.9999999999999997,0.7241946458816526,0.9315842806531863,DISRUPTIVE,31
NOVEL_MT_258,2021,0.9835103750228882,0.7704918032786885,122.0,22,39,3.1354942159291497,0.7704918025081966,0.9616096689324152,0.3372429265714705,0.860949421411477,122.0,2.1565826,1.4809481,0.0,0.0,0.6424628,4.0,0.6413646265864372,0.49912459483992366,0.5707936924261416,0.9300982177397737,DISRUPTIVE,32
