paper_id,year,semantic_novelty,structural_novelty,triple_count,cited_by_count,reference_count,citation_signal,struct_norm,semantic_norm,citation_norm,composite_novelty
SKG_MT_606,2010,1.0,0.8899082568807339,109.0,12,24,2.5649493574615367,0.8899082559908256,0.999999999,0.2835249489189543,0.8733066224873083
SKG_SA_83,2010,1.0,0.9454545454545454,55.0,8,14,2.1972245773362196,0.9454545445090908,0.999999999,0.24287730447405703,0.8970150023019512
SKG_DIA_210,2010,1.0,0.98,50.0,28,23,3.367295829986474,0.9799999990199999,0.999999999,0.372214903742496,0.9272214894842497
SKG_SA_217,2010,1.0,0.0,35.0,56,18,4.04305126783455,0.0,0.999999999,0.44691171030525656,0.4446911706305257
SKG_DIA_209,2010,1.0,0.925925925925926,54.0,43,28,3.784189633918261,0.925925925,0.999999999,0.4182976047987725,0.9047927225798774
SKG_MT_478,2010,1.0,0.8448275862068966,58.0,15,25,2.772588722239781,0.8448275853620689,0.999999999,0.30647703571983326,0.8530614958530178
SKG_MT_850,2010,1.0,0.875,128.0,63,21,4.1588830833596715,0.8749999991249999,0.999999999,0.4597155535797498,0.883471554520475
SKG_MT_853,2010,1.0,0.9393939393939394,66.0,5,7,1.791759469228055,0.9393939384545454,0.999999999,0.19805791116698682,0.8895027599439714
SKG_MT_488,2010,1.0,0.950413223140496,121.0,18,11,2.9444389791664403,0.9504132221900827,0.999999999,0.325473058068228,0.9077539165018642
SKG_MT_838,2010,1.0,0.9097744360902256,133.0,88,27,4.48863636973214,0.9097744351804511,0.999999999,0.4961658965086017,0.9045038068410857
SKG_MT_795,2010,1.0,0.8846153846153846,78.0,35,27,3.58351893845611,0.8846153837307691,0.999999999,0.39611582233397363,0.881919273698782
SKG_DIA_104,2010,1.0,1.0,56.0,29,27,3.4011973816621555,0.9999999989999999,0.999999999,0.37596232108590644,0.9375962312085907
SKG_SA_420,2010,1.0,0.9347826086956522,46.0,65,15,4.189654742026425,0.9347826077608695,0.999999999,0.4631169981058426,0.9137030032910191
SKG_MT_547,2010,1.0,0.8833333333333333,60.0,79,29,4.382026634673881,0.8833333324499999,0.999999999,0.48438144563875285,0.8901048103888753
SKG_MT_771,2010,1.0,0.9473684210526316,57.0,32,38,3.4965075614664802,0.9473684201052631,0.999999999,0.38649773917588437,0.91233398357022
SKG_MT_567,2010,1.0,0.9107142857142856,56.0,15,13,2.772588722239781,0.9107142848035712,0.999999999,0.30647703571983326,0.8860048455737689
SKG_SA_544,2010,1.0,0.9035087719298246,114.0,132,46,4.890349128221754,0.9035087710263158,0.999999999,0.5405705117496525,0.9058114362881232
SKG_MT_585,2010,1.0,0.8653846153846154,104.0,6,18,1.9459101490553132,0.8653846145192308,0.999999999,0.2150974536814245,0.8542020522277579
SKG_MT_743,2010,1.0,0.9347826086956522,92.0,5,21,1.791759469228055,0.9347826077608695,0.999999999,0.19805791116698682,0.8871970945971335
SKG_MT_715,2010,1.0,0.9,30.0,296,15,5.6937321388027,0.8999999991,0.999999999,0.6293750436499413,0.9129375035149941
SKG_MT_660,2010,1.0,0.8611111111111112,36.0,20,18,3.044522437723423,0.86111111025,0.999999999,0.336536105918453,0.8642091653168454
SKG_SUM_67,2010,1.0,0.9411764705882352,68.0,37,16,3.6375861597263857,0.9411764696470586,0.999999999,0.4020923169981863,0.910797466123348
SKG_SUM_42,2010,1.0,0.898876404494382,89.0,18,31,2.9444389791664403,0.8988764035955055,0.999999999,0.325473058068228,0.8819855072045757
SKG_MT_137,2010,1.0,0.9347826086956522,46.0,90,12,4.51085950651685,0.9347826077608695,0.999999999,0.49862240260037877,0.9172535437404727
SKG_SUM_83,2010,1.0,1.0,35.0,56,18,4.04305126783455,0.9999999989999999,0.999999999,0.44691171030525656,0.9446911701305257
SKG_SUM_45,2011,0.0975297093391418,0.8985507246376812,69.0,39,22,3.6888794541139363,0.8985507237391304,0.09752981682444135,0.40776218670879455,0.5290635072702212
SKG_PAR_94,2011,0.0753032565116882,0.8983050847457628,59.0,25,37,3.258096538021482,0.8983050838474576,0.07530336666881354,0.3601442078489126,0.5152883093761454
SKG_SUM_80,2011,0.0803451538085937,0.897196261682243,107.0,76,26,4.343805421853684,0.8971962607850467,0.08034526335963621,0.4801565406202804,0.5287518897984058
SKG_SA_505,2011,0.080845832824707,0.88,75.0,164,31,5.10594547390058,0.8799999991199999,0.08084594231556326,0.5644021490948039,0.5287785913957057
SKG_MT_620,2011,0.0779096484184265,0.0,2.0,6,17,1.9459101490553132,0.0,0.07790975826223935,0.2150974536814245,0.05267364867303819
SKG_MT_1399,2011,0.0858824849128723,0.9791666666666666,48.0,18,46,2.9444389791664403,0.9791666656874999,0.08588259379827626,0.325473058068228,0.5564836761698833
SKG_MT_565,2011,0.072100281715393,0.8363636363636363,55.0,7,15,2.0794415416798357,0.8363636355272726,0.07210039225754561,0.2298577767898749,0.47000775234564196
SKG_MT_87,2011,0.0623736381530761,0.8688524590163934,61.0,20,26,3.044522437723423,0.8688524581475409,0.06237374986446149,0.336536105918453,0.49302933961140033
SKG_SA_423,2011,0.0969975590705871,0.8540145985401459,137.0,846,32,6.741700694652055,0.8540145976861313,0.09699766661985605,0.7452156275591363,0.5403279282469217
SKG_MT_789,2011,0.0627534985542297,0.8125,48.0,2,21,1.0986122886681098,0.8124999991874999,0.06275361021995234,0.12143865223702852,0.44349530890543376
SKG_MT_1220,2011,0.0664681196212768,0.8818181818181818,110.0,2,23,1.0986122886681098,0.8818181809363635,0.06646823084046753,0.12143865223702852,0.47964024802807165
SKG_PAR_34,2011,0.1081368327140808,0.8333333333333334,12.0,6,11,1.9459101490553132,0.8333333325,0.10813693892430573,0.2150974536814245,0.4814311871878647
SKG_MT_1330,2011,0.093691349029541,0.8867924528301887,53.0,17,26,2.8903717578961645,0.8867924519433962,0.09369145697624706,0.3194965634040153,0.5128224651025984
SKG_MT_557,2011,0.0920189619064331,0.896551724137931,58.0,37,23,3.6375861597263857,0.8965517232413792,0.09201907005417562,0.4020923169981863,0.5252927213421785
SKG_MT_820,2011,0.0587814450263977,0.8928571428571429,224.0,14,15,2.70805020110221,0.8928571419642857,0.05878155716959802,0.29934306215594814,0.4998755000655769
SKG_PAR_215,2011,0.0637636184692382,0.8181818181818182,22.0,62,49,4.143134726391533,0.8181818173636364,0.06376373001353505,0.4579747581554815,0.48039387650278037
SKG_QA_336,2011,0.0817294120788574,0.8,55.0,139,21,4.941642422609304,0.7999999992,0.08172952146349922,0.5462403814602607,0.4873158463314257
SKG_MT_308,2011,0.0818246603012085,0.7931034482758621,116.0,3,14,1.3862943611198906,0.7931034474827586,0.08182476967440061,0.15323851785991663,0.44460548339713124
SKG_MT_300,2011,0.0724267959594726,0.8958333333333334,48.0,14,38,2.70805020110221,0.8958333324375,0.07242690646237518,0.29934306215594814,0.5068217350192948
SKG_MT_117,2011,0.0692388415336608,0.8088235294117647,68.0,3,16,1.3862943611198906,0.8088235286029412,0.06923895241978507,0.15323851785991663,0.44743119705537626
SKG_SA_351,2011,0.074949562549591,0.85625,160.0,108,41,4.6913478822291435,0.8562499991437499,0.07494967274923363,0.5185732672657684,0.5099621953981452
SKG_MT_800,2011,0.0801229476928711,0.875,104.0,12,24,2.5649493574615367,0.8749999991249999,0.08012305727062485,0.2835249489189543,0.4979017173626454
SKG_QA_5,2011,0.0763927698135376,0.8737864077669902,206.0,15,60,2.772588722239781,0.8737864068932037,0.07639287983969333,0.30647703571983326,0.4980980589544625
SKG_QA_240,2011,0.0987774729728698,0.8846153846153846,52.0,9,27,2.302585092994046,0.8846153837307691,0.0987775803081766,0.25452366884887795,0.507271090873543
SKG_MT_1277,2011,0.0725264549255371,0.8761904761904762,105.0,10,45,2.3978952727983707,0.8761904753142856,0.07252656541645974,0.2650590869388559,0.4936117725176123
SKG_QA_302,2011,0.0791858434677124,0.9157894736842104,95.0,248,28,5.517452896464707,0.9157894727684208,0.07918595315811477,0.6098894491160927,0.5505580625590656
SKG_MT_1024,2011,0.0761007070541381,0.8181818181818182,55.0,26,27,3.295836866004329,0.8181818173636364,0.07610081711540248,0.3643159567110855,0.4759628311990877
SKG_MT_144,2011,0.0711493492126464,0.7692307692307693,26.0,15,17,2.772588722239781,0.7692307684615385,0.07114945986910992,0.30647703571983326,0.44372287175039654
SKG_MT_813,2011,0.0594828724861145,0.896551724137931,29.0,9,28,2.302585092994046,0.8965517232413792,0.05948298454499674,0.25452366884887795,0.4975214223235761
SKG_SA_343,2011,0.0871251225471496,0.8879310344827587,116.0,140,21,4.948759890378168,0.8879310335948276,0.087125231283177,0.5470271337131772,0.5335183226820024
SKG_SA_567,2011,0.0781906247138977,0.8636363636363636,132.0,38,20,3.6635616461296463,0.8636363627727273,0.0781907345239346,0.4049636011559828,0.5035908353115358
SKG_MT_368,2011,0.0713342428207397,0.7699115044247787,113.0,62,21,4.143134726391533,0.7699115036548672,0.0713343534549773,0.4579747581554815,0.4592869690249727
SKG_MT_697,2011,0.0596944689750671,0.8904109589041096,73.0,5,34,1.791759469228055,0.8904109580136985,0.05969458100851347,0.19805791116698682,0.48888910252695333
SKG_MT_595,2011,0.0712191462516784,0.8243243243243243,74.0,11,17,2.4849066497880004,0.8243243235,0.07121925689975167,0.27467717009694514,0.46811758151959515
SKG_MT_964,2011,0.0698896646499633,0.8048780487804879,41.0,4,13,1.6094379124341003,0.8048780479756097,0.06988977545785259,0.17790440991891962,0.44818537516283785
SKG_MT_966,2011,0.0831929445266723,0.5,12.0,17,10,2.8903717578961645,0.49999999949999996,0.08319305373538395,0.3194965634040153,0.3152268775845551
SKG_MT_962,2011,0.0817294120788574,0.0,55.0,139,21,4.941642422609304,0.0,0.08172952146349922,0.5462403814602607,0.08731584673142576
SKG_DIA_288,2011,0.0794779062271118,0.8842975206611571,121.0,14,37,2.70805020110221,0.8842975197768594,0.07947801588240552,0.29934306215594814,0.5038742724569868
SKG_MT_496,2011,0.0598970651626586,0.896551724137931,58.0,9,31,2.302585092994046,0.8965517232413792,0.05989717717175103,0.25452366884887795,0.4976870993742778
SKG_DIA_213,2011,0.0914127230644226,0.7631578947368421,38.0,53,43,3.9889840465642745,0.7631578939736842,0.09141283128504063,0.4409352156410438,0.46223760106496276
SKG_MT_881,2011,0.0640358924865722,0.8431372549019608,102.0,43,24,3.784189633918261,0.8431372540588234,0.06403600399813919,0.4182976047987725,0.4890127891085446
SKG_SA_77,2011,0.0714505910873413,0.8581560283687943,141.0,167,27,5.123963979403259,0.8581560275106382,0.07145070170759275,0.5663938827083279,0.514297682709189
SKG_MT_1306,2011,0.0639931559562683,0.905982905982906,117.0,18,34,2.9444389791664403,0.905982905076923,0.06399326747297263,0.325473058068228,0.5111360653344734
SKG_MT_58,2011,0.0792745351791381,0.8804347826086957,92.0,10,16,2.3978952727983707,0.8804347817282608,0.0792746448588789,0.2650590869388559,0.4984331575015676
SKG_MT_280,2011,0.0778099298477172,0.9047619047619048,42.0,97,25,4.584967478670572,0.9047619038571428,0.07781003970351716,0.5068141662928074,0.534186384439259
